Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 7        |
|    ep_rew_mean     | -8.35    |
| time/              |          |
|    fps             | 2563     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 5120     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.35       |
| time/                   |             |
|    fps                  | 2034        |
|    iterations           | 2           |
|    time_elapsed         | 5           |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.002770997 |
|    clip_fraction        | 0.0145      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.51       |
|    explained_variance   | -0.00264    |
|    learning_rate        | 0.0002      |
|    loss                 | 29.9        |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.00158    |
|    std                  | 0.999       |
|    value_loss           | 67          |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.34        |
| time/                   |              |
|    fps                  | 1989         |
|    iterations           | 3            |
|    time_elapsed         | 7            |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0027827849 |
|    clip_fraction        | 0.0246       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.51        |
|    explained_variance   | -0.00599     |
|    learning_rate        | 0.0002       |
|    loss                 | 23           |
|    n_updates            | 16           |
|    policy_gradient_loss | -0.00195     |
|    std                  | 0.999        |
|    value_loss           | 53.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.34       |
| time/                   |             |
|    fps                  | 1938        |
|    iterations           | 4           |
|    time_elapsed         | 10          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.002930009 |
|    clip_fraction        | 0.0121      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.51       |
|    explained_variance   | -0.0097     |
|    learning_rate        | 0.0002      |
|    loss                 | 16.9        |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.00127    |
|    std                  | 1           |
|    value_loss           | 40.6        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.33        |
| time/                   |              |
|    fps                  | 1902         |
|    iterations           | 5            |
|    time_elapsed         | 13           |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0031243064 |
|    clip_fraction        | 0.0275       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.51        |
|    explained_variance   | -0.0131      |
|    learning_rate        | 0.0002       |
|    loss                 | 12           |
|    n_updates            | 32           |
|    policy_gradient_loss | -0.00183     |
|    std                  | 0.998        |
|    value_loss           | 28.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.29       |
| time/                   |             |
|    fps                  | 1868        |
|    iterations           | 6           |
|    time_elapsed         | 16          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.002582529 |
|    clip_fraction        | 0.0108      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.5        |
|    explained_variance   | -0.0162     |
|    learning_rate        | 0.0002      |
|    loss                 | 6.94        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00097    |
|    std                  | 0.997       |
|    value_loss           | 18.5        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.28        |
| time/                   |              |
|    fps                  | 1848         |
|    iterations           | 7            |
|    time_elapsed         | 19           |
|    total_timesteps      | 35840        |
| train/                  |              |
|    approx_kl            | 0.0024575042 |
|    clip_fraction        | 0.0419       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.49        |
|    explained_variance   | -0.0177      |
|    learning_rate        | 0.0002       |
|    loss                 | 3.78         |
|    n_updates            | 48           |
|    policy_gradient_loss | -0.00293     |
|    std                  | 0.996        |
|    value_loss           | 10.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.26        |
| time/                   |              |
|    fps                  | 1837         |
|    iterations           | 8            |
|    time_elapsed         | 22           |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0022084727 |
|    clip_fraction        | 0.022        |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.49        |
|    explained_variance   | -0.0213      |
|    learning_rate        | 0.0002       |
|    loss                 | 1.94         |
|    n_updates            | 56           |
|    policy_gradient_loss | -0.00165     |
|    std                  | 0.996        |
|    value_loss           | 5.63         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.27       |
| time/                   |             |
|    fps                  | 1837        |
|    iterations           | 9           |
|    time_elapsed         | 25          |
|    total_timesteps      | 46080       |
| train/                  |             |
|    approx_kl            | 0.003994666 |
|    clip_fraction        | 0.059       |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.48       |
|    explained_variance   | -0.0242     |
|    learning_rate        | 0.0002      |
|    loss                 | 1.05        |
|    n_updates            | 64          |
|    policy_gradient_loss | -0.00342    |
|    std                  | 0.992       |
|    value_loss           | 2.82        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7          |
|    ep_rew_mean          | -8.24      |
| time/                   |            |
|    fps                  | 1819       |
|    iterations           | 10         |
|    time_elapsed         | 28         |
|    total_timesteps      | 51200      |
| train/                  |            |
|    approx_kl            | 0.00374779 |
|    clip_fraction        | 0.0678     |
|    clip_range           | 0.15       |
|    entropy_loss         | -8.46      |
|    explained_variance   | -0.0232    |
|    learning_rate        | 0.0002     |
|    loss                 | 0.786      |
|    n_updates            | 72         |
|    policy_gradient_loss | -0.00458   |
|    std                  | 0.992      |
|    value_loss           | 1.71       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.19        |
| time/                   |              |
|    fps                  | 1825         |
|    iterations           | 11           |
|    time_elapsed         | 30           |
|    total_timesteps      | 56320        |
| train/                  |              |
|    approx_kl            | 0.0024257745 |
|    clip_fraction        | 0.0432       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.44        |
|    explained_variance   | -0.0162      |
|    learning_rate        | 0.0002       |
|    loss                 | 0.729        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00278     |
|    std                  | 0.985        |
|    value_loss           | 1.47         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.19       |
| time/                   |             |
|    fps                  | 1820        |
|    iterations           | 12          |
|    time_elapsed         | 33          |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.002951775 |
|    clip_fraction        | 0.037       |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.42       |
|    explained_variance   | -0.00573    |
|    learning_rate        | 0.0002      |
|    loss                 | 0.758       |
|    n_updates            | 88          |
|    policy_gradient_loss | -0.00206    |
|    std                  | 0.984       |
|    value_loss           | 1.48        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.16        |
| time/                   |              |
|    fps                  | 1815         |
|    iterations           | 13           |
|    time_elapsed         | 36           |
|    total_timesteps      | 66560        |
| train/                  |              |
|    approx_kl            | 0.0029465463 |
|    clip_fraction        | 0.0284       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.41        |
|    explained_variance   | 0.000526     |
|    learning_rate        | 0.0002       |
|    loss                 | 0.73         |
|    n_updates            | 96           |
|    policy_gradient_loss | -0.00202     |
|    std                  | 0.981        |
|    value_loss           | 1.51         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.15        |
| time/                   |              |
|    fps                  | 1810         |
|    iterations           | 14           |
|    time_elapsed         | 39           |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0033530102 |
|    clip_fraction        | 0.0399       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.38        |
|    explained_variance   | 0.0149       |
|    learning_rate        | 0.0002       |
|    loss                 | 0.738        |
|    n_updates            | 104          |
|    policy_gradient_loss | -0.00279     |
|    std                  | 0.977        |
|    value_loss           | 1.51         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.13       |
| time/                   |             |
|    fps                  | 1820        |
|    iterations           | 15          |
|    time_elapsed         | 42          |
|    total_timesteps      | 76800       |
| train/                  |             |
|    approx_kl            | 0.003091169 |
|    clip_fraction        | 0.036       |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.37       |
|    explained_variance   | 0.0245      |
|    learning_rate        | 0.0002      |
|    loss                 | 0.752       |
|    n_updates            | 112         |
|    policy_gradient_loss | -0.00224    |
|    std                  | 0.977       |
|    value_loss           | 1.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.1        |
| time/                   |             |
|    fps                  | 1814        |
|    iterations           | 16          |
|    time_elapsed         | 45          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.002973748 |
|    clip_fraction        | 0.0345      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.37       |
|    explained_variance   | 0.0409      |
|    learning_rate        | 0.0002      |
|    loss                 | 0.74        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0021     |
|    std                  | 0.975       |
|    value_loss           | 1.45        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.05        |
| time/                   |              |
|    fps                  | 1814         |
|    iterations           | 17           |
|    time_elapsed         | 47           |
|    total_timesteps      | 87040        |
| train/                  |              |
|    approx_kl            | 0.0031075072 |
|    clip_fraction        | 0.0317       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.35        |
|    explained_variance   | 0.0708       |
|    learning_rate        | 0.0002       |
|    loss                 | 0.701        |
|    n_updates            | 128          |
|    policy_gradient_loss | -0.00212     |
|    std                  | 0.973        |
|    value_loss           | 1.41         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.06        |
| time/                   |              |
|    fps                  | 1801         |
|    iterations           | 18           |
