Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 7        |
|    ep_rew_mean     | -8.35    |
| time/              |          |
|    fps             | 2130     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 5120     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.3         |
| time/                   |              |
|    fps                  | 1922         |
|    iterations           | 2            |
|    time_elapsed         | 5            |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0024618015 |
|    clip_fraction        | 0.0333       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.52        |
|    explained_variance   | 0.0122       |
|    learning_rate        | 0.0002       |
|    loss                 | 29.7         |
|    n_updates            | 8            |
|    policy_gradient_loss | -0.00228     |
|    std                  | 1            |
|    value_loss           | 67.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.36        |
| time/                   |              |
|    fps                  | 1933         |
|    iterations           | 3            |
|    time_elapsed         | 7            |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0022016899 |
|    clip_fraction        | 0.00669      |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.52        |
|    explained_variance   | 0.00622      |
|    learning_rate        | 0.0002       |
|    loss                 | 23.8         |
|    n_updates            | 16           |
|    policy_gradient_loss | -0.00101     |
|    std                  | 1            |
|    value_loss           | 54.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.32        |
| time/                   |              |
|    fps                  | 1909         |
|    iterations           | 4            |
|    time_elapsed         | 10           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0031856154 |
|    clip_fraction        | 0.025        |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.52        |
|    explained_variance   | 0.000651     |
|    learning_rate        | 0.0002       |
|    loss                 | 17.3         |
|    n_updates            | 24           |
|    policy_gradient_loss | -0.00173     |
|    std                  | 1            |
|    value_loss           | 41.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.29        |
| time/                   |              |
|    fps                  | 1892         |
|    iterations           | 5            |
|    time_elapsed         | 13           |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0028764855 |
|    clip_fraction        | 0.0385       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.52        |
|    explained_variance   | -0.00311     |
|    learning_rate        | 0.0002       |
|    loss                 | 11.7         |
|    n_updates            | 32           |
|    policy_gradient_loss | -0.00233     |
|    std                  | 1            |
|    value_loss           | 29.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.25        |
| time/                   |              |
|    fps                  | 1886         |
|    iterations           | 6            |
|    time_elapsed         | 16           |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0023324743 |
|    clip_fraction        | 0.0302       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.52        |
|    explained_variance   | -0.00524     |
|    learning_rate        | 0.0002       |
|    loss                 | 7.18         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00205     |
|    std                  | 1            |
|    value_loss           | 18.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.25        |
| time/                   |              |
|    fps                  | 1877         |
|    iterations           | 7            |
|    time_elapsed         | 19           |
|    total_timesteps      | 35840        |
| train/                  |              |
|    approx_kl            | 0.0025417865 |
|    clip_fraction        | 0.0155       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.52        |
|    explained_variance   | -0.0124      |
|    learning_rate        | 0.0002       |
|    loss                 | 3.95         |
|    n_updates            | 48           |
|    policy_gradient_loss | -0.00123     |
|    std                  | 1            |
|    value_loss           | 11.5         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7          |
|    ep_rew_mean          | -8.23      |
| time/                   |            |
|    fps                  | 1869       |
|    iterations           | 8          |
|    time_elapsed         | 21         |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.00220404 |
|    clip_fraction        | 0.0302     |
|    clip_range           | 0.15       |
|    entropy_loss         | -8.52      |
|    explained_variance   | -0.023     |
|    learning_rate        | 0.0002     |
|    loss                 | 2.15       |
|    n_updates            | 56         |
|    policy_gradient_loss | -0.00209   |
|    std                  | 0.999      |
|    value_loss           | 6.39       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.19       |
| time/                   |             |
|    fps                  | 1865        |
|    iterations           | 9           |
|    time_elapsed         | 24          |
|    total_timesteps      | 46080       |
| train/                  |             |
|    approx_kl            | 0.003500995 |
|    clip_fraction        | 0.0511      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.51       |
|    explained_variance   | -0.0233     |
|    learning_rate        | 0.0002      |
|    loss                 | 1.08        |
|    n_updates            | 64          |
|    policy_gradient_loss | -0.00339    |
|    std                  | 0.999       |
|    value_loss           | 3.19        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.19        |
| time/                   |              |
|    fps                  | 1859         |
|    iterations           | 10           |
|    time_elapsed         | 27           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0034305882 |
|    clip_fraction        | 0.0459       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.5         |
|    explained_variance   | -0.0229      |
|    learning_rate        | 0.0002       |
|    loss                 | 0.793        |
|    n_updates            | 72           |
|    policy_gradient_loss | -0.00346     |
|    std                  | 0.995        |
|    value_loss           | 1.8          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.18        |
| time/                   |              |
|    fps                  | 1859         |
|    iterations           | 11           |
|    time_elapsed         | 30           |
|    total_timesteps      | 56320        |
| train/                  |              |
|    approx_kl            | 0.0024019561 |
|    clip_fraction        | 0.0511       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.47        |
|    explained_variance   | -0.00829     |
|    learning_rate        | 0.0002       |
|    loss                 | 0.749        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00348     |
|    std                  | 0.99         |
|    value_loss           | 1.51         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.15       |
| time/                   |             |
|    fps                  | 1855        |
|    iterations           | 12          |
|    time_elapsed         | 33          |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.002867904 |
|    clip_fraction        | 0.042       |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.44       |
|    explained_variance   | 0.00782     |
|    learning_rate        | 0.0002      |
|    loss                 | 0.715       |
|    n_updates            | 88          |
|    policy_gradient_loss | -0.0022     |
|    std                  | 0.987       |
|    value_loss           | 1.48        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.14        |
| time/                   |              |
|    fps                  | 1846         |
|    iterations           | 13           |
|    time_elapsed         | 36           |
|    total_timesteps      | 66560        |
| train/                  |              |
|    approx_kl            | 0.0032958027 |
|    clip_fraction        | 0.0697       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.43        |
|    explained_variance   | 0.0203       |
|    learning_rate        | 0.0002       |
|    loss                 | 0.739        |
|    n_updates            | 96           |
|    policy_gradient_loss | -0.00434     |
|    std                  | 0.985        |
|    value_loss           | 1.48         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.09        |
| time/                   |              |
|    fps                  | 1838         |
|    iterations           | 14           |
|    time_elapsed         | 38           |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0032923962 |
|    clip_fraction        | 0.0414       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.42        |
|    explained_variance   | 0.0394       |
|    learning_rate        | 0.0002       |
|    loss                 | 0.724        |
|    n_updates            | 104          |
|    policy_gradient_loss | -0.00258     |
|    std                  | 0.984        |
|    value_loss           | 1.48         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.08        |
| time/                   |              |
|    fps                  | 1835         |
|    iterations           | 15           |
|    time_elapsed         | 41           |
|    total_timesteps      | 76800        |
| train/                  |              |
|    approx_kl            | 0.0030170574 |
|    clip_fraction        | 0.0372       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.41        |
|    explained_variance   | 0.062        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.707        |
|    n_updates            | 112          |
|    policy_gradient_loss | -0.00251     |
|    std                  | 0.983        |
|    value_loss           | 1.43         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.07        |
| time/                   |              |
|    fps                  | 1825         |
|    iterations           | 16           |
|    time_elapsed         | 44           |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0029913255 |
|    clip_fraction        | 0.0324       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.41        |
|    explained_variance   | 0.0904       |
|    learning_rate        | 0.0002       |
|    loss                 | 0.687        |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00191     |
|    std                  | 0.985        |
|    value_loss           | 1.38         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.05       |
| time/                   |             |
|    fps                  | 1822        |
|    iterations           | 17          |
|    time_elapsed         | 47          |
|    total_timesteps      | 87040       |
| train/                  |             |
|    approx_kl            | 0.003170671 |
|    clip_fraction        | 0.0413      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.42       |
|    explained_variance   | 0.127       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.632       |
|    n_updates            | 128         |
|    policy_gradient_loss | -0.00256    |
|    std                  | 0.982       |
|    value_loss           | 1.33        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.02        |
| time/                   |              |
|    fps                  | 1815         |
|    iterations           | 18           |
